occupation,anzsco_code,assessing_authority,list
Accommodation and Hospitality Managers nec,141999,VETASSESS,STSOL
Accountant (General),221111,CAANZ/CPA/IPA,MLTSSL
Actuary,224111,VETASSESS,MLTSSL
Acupuncturist,252211,Chinese Medicine Board of Australia,STSOL
Advertising Manager,131113,AIM,STSOL
Advertising Specialist,225111,VETASSESS,STSOL
Aeronautical Engineer,233911,Engineers Australia,MLTSSL
Aeroplane Pilot,231111,CASA,ROL
Agricultural Consultant,234111,VETASSESS,MLTSSL
Agricultural Engineer,233912,Engineers Australia,MLTSSL
Agricultural Scientist,234112,VETASSESS,MLTSSL
Agricultural Technician,311111,VETASSESS,ROL
Airconditioning and Mechanical Services Plumber,334112,TRA,MLTSSL
Airconditioning and Refrigeration Mechanic,342111,TRA,MLTSSL
Aircraft Maintenance Engineer (Avionics),323111,TRA,STSOL
Aircraft Maintenance Engineer (Mechanical),323112,TRA,STSOL
Aircraft Maintenance Engineer (Structures),323113,TRA,STSOL
Ambulance Officer,411111,VETASSESS,STSOL
Amusement Centre Manager,149111,VETASSESS,ROL
Anaesthetic Technician,311211,VETASSESS,STSOL
Anaesthetist,253211,Medical Board of Australia,ROL
Analyst Programmer,261311,ACS,MLTSSL
Animal Attendants and Trainers nec,361199,VETASSESS,STSOL
Apiarist,121311,VETASSESS,STSOL
Aquaculture Farmer,121111,VETASSESS,STSOL
Arborist,362212,TRA,STSOL
Architect,232111,AACA,MLTSSL
Architectural Draftsperson,312111,VETASSESS,STSOL
Architectural Technicians nec,312199,VETASSESS,STSOL
Art Teacher (Private Tuition),249211,VETASSESS,STSOL
Artistic Director,212111,VETASSESS,MLTSSL
Arts Administrator or Manager,139911,VETASSESS,MLTSSL
Audiologist,252711,VETASSESS,MLTSSL
Automotive Electrician,321111,TRA,MLTSSL
Baker,351111,TRA,STSOL
Barrister,271111,State or Territory Legal Authority,MLTSSL
Beef Cattle Farmer,121312,VETASSESS,ROL
Biochemist,234513,VETASSESS,MLTSSL
Biomedical Engineer,233913,Engineers Australia,MLTSSL
Biotechnologist,234514,VETASSESS,MLTSSL
Boat Builder and Repairer,399111,TRA,MLTSSL
Book or Script Editor,212212,VETASSESS,STSOL
Botanist,234515,VETASSESS,MLTSSL
Bricklayer,331111,TRA,MLTSSL
Building Inspector,312113,VETASSESS,STSOL
Business Analyst,261111,ACS,MLTSSL
Butcher or Smallgoods Maker,351211,TRA,STSOL
Cabinetmaker,394111,TRA,MLTSSL
Cafe or Restaurant Manager,141111,VETASSESS,STSOL
Carpenter,331212,TRA,MLTSSL
Carpenter and Joiner,331211,TRA,MLTSSL
Chef,351311,TRA,MLTSSL
Chemical Engineer,233111,Engineers Australia,MLTSSL
Chemist,234211,VETASSESS,MLTSSL
Child Care Centre Manager,134111,ACECQA,STSOL
Chiropractor,252111,Chiropractic Board of Australia,MLTSSL
